+-----+--------+-------------------+----------------------------------------+--------------------------------------------+------------+-----------------+
| id  | season | episode_in_season |                 title                  |                   topic                    |  air_date  | production_code |
| 102 | 10     | 3                 | A Seedy Business                       | Gardening/Nutrition                        | 2015-11-11 | CYB103          |
| 103 | 10     | 4                 | Parks and Recreation                   | Evidence-based Arguments                   | 2015-11-12 | CYB104          |
| 104 | 10     | 5                 | Bottled Up                             | Plastic Disposal                           | 2015-11-13 | CYB105          |
| 105 | 11     | 1                 | Watts of Halloween Trouble             | Energy Conservation                        | 2017-10-23 | CYB106          |
| 106 | 11     | 2                 | Creech's Creature Quandary             | Habitat Fragmentation                      | 2017-12-26 | CYB107          |
| 107 | 11     | 3                 | A Murky Mystery in Mermaidos           | Thermal Pollution                          | 2017-12-27 | CYB108          |
| 108 | 11     | 4                 | Plantasaurus!                          | Air Quality                                | 2017-12-28 | CYB109          |
| 109 | 11     | 5                 | A Reboot Eve to Remember               | Wind Energy                                | 2017-12-29 | CYB110          |
| 110 | 11     | 6                 | Housewarming Party                     | Green Roofs (Natural Thermal Insulation)   | 2018-04-16 | CYB111          |
| 111 | 11     | 7                 | Invasion of the Funky Flower           | Invasive Species                           | 2018-04-17 | CYB112          |
| 112 | 11     | 8                 | A Renewable Hope                       | Renewable Energy                           | 2018-04-18 | CYB113          |
| 113 | 11     | 9                 | The Migration Situation                | Citizen Science                            | 2018-04-19 | CYB114          |
| 114 | 11     | 10                | Back to Canalia's Future               | Water Consumption                          | 2018-04-20 | CYB115          |
| 115 | 12     | 1                 | Space Waste Odyssey                    | NULL                                       | 2019-11-29 | CYB118          |
| 116 | 12     | 2                 | Space Waste Odyssey                    | NULL                                       | 2019-04-19 | CYB117          |
| 117 | 12     | 3                 | Giving Thanks Day                      | NULL                                       | 2019-11-22 | CYB116          |
| 118 | 12     | 4                 | A Garden Grows in Botlyn               | NULL                                       | 2020-02-14 | CYB119          |
| 119 | 12     | 5                 | Missing Bats in Sensible Flats         | NULL                                       | 2020-04-17 | CYB120          |
| 120 | 12     | 6                 | Water Woes                             | NULL                                       | 2020-04-17 | CYB121          |
| 121 | 12     | 7                 | Soil Turmoil                           | NULL                                       | 2020-04-17 | CYB122          |
| 122 | 12     | 8                 | Hacker Hugs a Tree                     | NULL                                       | 2020-04-17 | CYB123          |
| 123 | 12     | 9                 | Pursuit of the Prism of Power          | NULL                                       | 2020-05-08 | CYB124          |
| 124 | 12     | 10                | Composting in the Clutch               | NULL                                       | 2020-05-08 | CYB125          |
| 125 | 12     | 11                | A Camping Conundrum                    | NULL                                       | 2020-05-08 | CYB126          |
| 126 | 12     | 12                | Journey of a Thousand Food Miles       | NULL                                       | 2020-05-08 | CYB127          |
| 127 | 13     | 1                 | Duck Stop                              | NULL                                       | 2022-02-25 | CYB128          |
| 128 | 13     | 2                 | The Great Outdoors                     | NULL                                       | 2022-02-25 | CYB129          |
| 129 | 13     | 3                 | Coral Grief                            | NULL                                       | 2022-02-25 | CYB130          |
| 130 | 13     | 4                 | Sustainable by Design                  | NULL                                       | 2022-02-25 | CYB131          |
| 131 | 13     | 5                 | Hacker's Bright Idea                   | NULL                                       | 2022-04-29 | CYB132          |
| 132 | 13     | 6                 | Buzz and the Tree                      | NULL                                       | 2022-04-29 | CYB133          |
| 133 | 13     | 7                 | The Lilting Loons                      | NULL                                       | 2022-04-29 | CYB134          |
| 134 | 13     | 8                 | Living in Disharmony                   | NULL                                       | 2022-04-29 | CYB135          |
| 135 | 13     | 9                 | Traffic Trouble                        | NULL                                       | 2022-05-20 | CYB136          |
| 136 | 13     | 10                | A Garden is Born                       | NULL                                       | 2022-05-20 | CYB137          |
| 137 | 14     | 1                 | Clean-Up on Isle 8                     | NULL                                       | 2023-04-21 | CYB138          |
| 138 | 14     | 2                 | Weather or Not                         | NULL                                       | 2023-05-10 | CYB140          |
| 139 | 14     | 3                 | Weather or Not                         | NULL                                       | 2023-05-11 | CYB141          |
| 140 | 14     | 4                 | Trees, Please                          | NULL                                       | 2023-04-28 | CYB139          |
+-----+--------+-------------------+----------------------------------------+--------------------------------------------+------------+-----------------+
